id,app_id,platforms,categories,genres,CompositeRating,header_image
762,244210,"windows,mac","Single-player,Multi-player,PvP,Online PvP,Steam Achievements,VR Supported,Partial Controller Support,Steam Leaderboards,Includes level editor,Family Sharing","Indie,Racing,Simulation,Sports",0.432692,https://cdn.akamai.steamstatic.com/steam/apps/244210/header.jpg?t=1686917372
175,12900,"windows,mac","Single-player,Co-op,Steam Achievements,Full controller support,Family Sharing",Indie,0.432603,https://cdn.akamai.steamstatic.com/steam/apps/12900/header.jpg?t=1568404797
1209,326520,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV,Family Sharing",Casual,0.432432,https://cdn.akamai.steamstatic.com/steam/apps/326520/header.jpg?t=1584691987
693,232430,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Commentary available,Remote Play on TV,Family Sharing","Adventure,Indie",0.432432,https://cdn.akamai.steamstatic.com/steam/apps/232430/header.jpg?t=1683128551
844,254820,"windows,mac","Single-player,Multi-player,Co-op,Family Sharing",Strategy,0.432432,https://cdn.akamai.steamstatic.com/steam/apps/254820/header.jpg?t=1579791410
536,207140,"windows,mac","Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Includes level editor,Remote Play on Phone,Rem","Action,Casual,Indie,Racing,Sports",0.431753,https://cdn.akamai.steamstatic.com/steam/apps/207140/header.jpg?t=1699018142
543,207610,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Family Sharing",Adventure,0.429319,https://cdn.akamai.steamstatic.com/steam/apps/207610/header.jpg?t=1681496660
989,282070,"windows,mac","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Family Sharing","Adventure,Indie,Simulation",0.429015,https://cdn.akamai.steamstatic.com/steam/apps/282070/header.jpg?t=1716473405
307,40700,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV,Family Sharing","Adventure,Indie",0.428003,https://cdn.akamai.steamstatic.com/steam/apps/40700/header.jpg?t=1683630220
604,218060,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Family Sharing","Action,Casual,Indie",0.427847,https://cdn.akamai.steamstatic.com/steam/apps/218060/header.jpg?t=1706303147
